Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),peak_brightness,year,month,hour,latitude,longitude
2015-04-21 01:42:51,37.7N,39.6W,37.4,21.3,-15.3,12.8,7.4,88000000000.0,0.27,2015-04-21 01:42:51,2015,4,1,37.7,-39.6
2015-04-10 01:14:27,42.8S,8.2E,,,,,,65000000000.0,0.21,2015-04-10 01:14:27,2015,4,1,-42.8,8.2
2015-04-08 04:06:31,25.5S,51.5E,36.3,19.2,8.0,-15.6,-7.9,173000000000.0,0.49,2015-04-08 04:06:31,2015,4,4,-25.5,51.5
2015-04-03 01:39:38,8.4N,157.9W,,,,,,42000000000.0,0.14,2015-04-03 01:39:38,2015,4,1,8.4,-157.9
2015-03-30 21:33:52,36.1S,5.5W,33.1,13.8,-13.7,-1.7,0.8,64000000000.0,0.2,2015-03-30 21:33:52,2015,3,21,-36.1,-5.5
2015-03-18 00:04:50,5.4S,159.3E,50.0,,,,,121000000000.0,0.36,2015-03-18 00:04:50,2015,3,0,-5.4,159.3
2015-03-11 06:18:59,8.0N,119.1E,35.2,19.9,5.5,-10.5,-16.0,72000000000.0,0.23,2015-03-11 06:18:59,2015,3,6,8.0,119.1
2015-03-08 04:26:28,39.1S,118.6W,,,,,,20000000000.0,0.073,2015-03-08 04:26:28,2015,3,4,-39.1,-118.6
2015-03-04 04:30:05,15.9S,88.1E,39.8,18.0,7.8,-16.0,-2.5,55000000000.0,0.18,2015-03-04 04:30:05,2015,3,4,-15.9,88.1
2015-02-26 22:06:24,68.0N,149.0W,33.7,21.1,5.6,-2.3,-20.2,188000000000.0,0.53,2015-02-26 22:06:24,2015,2,22,68.0,-149.0
